[CORESWAP] dll=E:\PYTHON\CoreSwap\versions\1.20.1\cpp\build-msvc\bin\block_probe.exe size=373248
[CORESWAP] crash handler installed
blocks file: magic=0x57474232 seed=-8248318472910187742 size=4 origin=(-288,-256) minY=-64 height=384
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.353398 amp=1.000 persist=1.0000 contrib=0.353398
[NOODLE] (-278,8,-240) raw_n=-0.392971 raw_t=0.238584 raw_a=-0.713783 raw_b=0.070311 raw_cheese=0.459701 raw_layer=0.449639 tree=64.000000
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=-0.482250 amp=1.000 persist=1.0000 contrib=-0.482250
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.368057 amp=1.000 persist=1.0000 contrib=0.368057
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.471706 amp=0.500 persist=0.5010 contrib=0.118157
[OCT] fo=-8 i=1 oct=-7 freq=0.007812 raw=0.159555 amp=1.000 persist=0.2505 contrib=0.039967
[OCT] fo=-8 i=2 oct=-6 freq=0.015625 raw=0.095087 amp=2.000 persist=0.1252 contrib=0.023818
[OCT] fo=-8 i=3 oct=-5 freq=0.031250 raw=0.284043 amp=1.000 persist=0.0626 contrib=0.017787
[OCT] fo=-8 i=4 oct=-4 freq=0.062500 raw=-0.382886 amp=2.000 persist=0.0313 contrib=-0.023977
[OCT] fo=-8 i=5 oct=-3 freq=0.125000 raw=-0.021811 amp=1.000 persist=0.0157 contrib=-0.000341
[OCT] fo=-8 i=7 oct=-1 freq=0.500000 raw=0.384659 amp=2.000 persist=0.0039 contrib=0.003011
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.390365 amp=1.000 persist=1.0000 contrib=0.390365
[NOODLE] (-278,9,-240) raw_n=-0.393655 raw_t=0.239332 raw_a=-0.697224 raw_b=0.044778 raw_cheese=0.458890 raw_layer=0.487303 tree=64.000000
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=-0.484538 amp=1.000 persist=1.0000 contrib=-0.484538
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.369388 amp=1.000 persist=1.0000 contrib=0.369388
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.469790 amp=0.500 persist=0.5010 contrib=0.117677
[OCT] fo=-8 i=1 oct=-7 freq=0.007812 raw=0.155578 amp=1.000 persist=0.2505 contrib=0.038971
[OCT] fo=-8 i=2 oct=-6 freq=0.015625 raw=0.096305 amp=2.000 persist=0.1252 contrib=0.024123
[OCT] fo=-8 i=3 oct=-5 freq=0.031250 raw=0.260194 amp=1.000 persist=0.0626 contrib=0.016294
[OCT] fo=-8 i=4 oct=-4 freq=0.062500 raw=-0.418272 amp=2.000 persist=0.0313 contrib=-0.026193
[OCT] fo=-8 i=5 oct=-3 freq=0.125000 raw=-0.051489 amp=1.000 persist=0.0157 contrib=-0.000806
[OCT] fo=-8 i=7 oct=-1 freq=0.500000 raw=0.649937 amp=2.000 persist=0.0039 contrib=0.005088
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.422740 amp=1.000 persist=1.0000 contrib=0.422740
[NOODLE] (-278,10,-240) raw_n=-0.394240 raw_t=0.240019 raw_a=-0.678271 raw_b=0.019295 raw_cheese=0.454485 raw_layer=0.523270 tree=64.000000
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=-0.486706 amp=1.000 persist=1.0000 contrib=-0.486706
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.370619 amp=1.000 persist=1.0000 contrib=0.370619
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.467864 amp=0.500 persist=0.5010 contrib=0.117195
[OCT] fo=-8 i=1 oct=-7 freq=0.007812 raw=0.151485 amp=1.000 persist=0.2505 contrib=0.037945
[OCT] fo=-8 i=2 oct=-6 freq=0.015625 raw=0.097283 amp=2.000 persist=0.1252 contrib=0.024368
[OCT] fo=-8 i=3 oct=-5 freq=0.031250 raw=0.236409 amp=1.000 persist=0.0626 contrib=0.014805
[OCT] fo=-8 i=4 oct=-4 freq=0.062500 raw=-0.447196 amp=2.000 persist=0.0313 contrib=-0.028004
[OCT] fo=-8 i=5 oct=-3 freq=0.125000 raw=-0.075251 amp=1.000 persist=0.0157 contrib=-0.001178
[OCT] fo=-8 i=7 oct=-1 freq=0.500000 raw=0.413120 amp=2.000 persist=0.0039 contrib=0.003234
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.449953 amp=1.000 persist=1.0000 contrib=0.449953
[NOODLE] (-278,11,-240) raw_n=-0.394726 raw_t=0.240644 raw_a=-0.657188 raw_b=-0.005885 raw_cheese=0.444159 raw_layer=0.556759 tree=64.000000
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=-0.488754 amp=1.000 persist=1.0000 contrib=-0.488754
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.371747 amp=1.000 persist=1.0000 contrib=0.371747
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.465928 amp=0.500 persist=0.5010 contrib=0.116710
[OCT] fo=-8 i=1 oct=-7 freq=0.007812 raw=0.147281 amp=1.000 persist=0.2505 contrib=0.036892
[OCT] fo=-8 i=2 oct=-6 freq=0.015625 raw=0.098062 amp=2.000 persist=0.1252 contrib=0.024564
[OCT] fo=-8 i=3 oct=-5 freq=0.031250 raw=0.212944 amp=1.000 persist=0.0626 contrib=0.013335
[OCT] fo=-8 i=4 oct=-4 freq=0.062500 raw=-0.468752 amp=2.000 persist=0.0313 contrib=-0.029354
[OCT] fo=-8 i=5 oct=-3 freq=0.125000 raw=-0.083812 amp=1.000 persist=0.0157 contrib=-0.001312
[OCT] fo=-8 i=7 oct=-1 freq=0.500000 raw=0.022657 amp=2.000 persist=0.0039 contrib=0.000177
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.471604 amp=1.000 persist=1.0000 contrib=0.471604
[NOODLE] (-278,12,-240) raw_n=-0.395112 raw_t=0.241206 raw_a=-0.634254 raw_b=-0.030524 raw_cheese=0.435666 raw_layer=0.587090 tree=64.000000
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=-0.490681 amp=1.000 persist=1.0000 contrib=-0.490681
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.372772 amp=1.000 persist=1.0000 contrib=0.372772
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.463981 amp=0.500 persist=0.5010 contrib=0.116222
[OCT] fo=-8 i=1 oct=-7 freq=0.007812 raw=0.142971 amp=1.000 persist=0.2505 contrib=0.035813
[OCT] fo=-8 i=2 oct=-6 freq=0.015625 raw=0.098686 amp=2.000 persist=0.1252 contrib=0.024720
[OCT] fo=-8 i=3 oct=-5 freq=0.031250 raw=0.190050 amp=1.000 persist=0.0626 contrib=0.011901
[OCT] fo=-8 i=4 oct=-4 freq=0.062500 raw=-0.482429 amp=2.000 persist=0.0313 contrib=-0.030211
[OCT] fo=-8 i=5 oct=-3 freq=0.125000 raw=-0.073972 amp=1.000 persist=0.0157 contrib=-0.001158
[OCT] fo=-8 i=7 oct=-1 freq=0.500000 raw=0.069615 amp=2.000 persist=0.0039 contrib=0.000545
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.487496 amp=1.000 persist=1.0000 contrib=0.487496
[NOODLE] (-278,13,-240) raw_n=-0.395399 raw_t=0.241704 raw_a=-0.609759 raw_b=-0.054413 raw_cheese=0.430250 raw_layer=0.613732 tree=64.000000
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=-0.492487 amp=1.000 persist=1.0000 contrib=-0.492487
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.373694 amp=1.000 persist=1.0000 contrib=0.373694
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.462024 amp=0.500 persist=0.5010 contrib=0.115732
[OCT] fo=-8 i=1 oct=-7 freq=0.007812 raw=0.138560 amp=1.000 persist=0.2505 contrib=0.034708
[OCT] fo=-8 i=2 oct=-6 freq=0.015625 raw=0.099204 amp=2.000 persist=0.1252 contrib=0.024850
[OCT] fo=-8 i=3 oct=-5 freq=0.031250 raw=0.167974 amp=1.000 persist=0.0626 contrib=0.010519
[OCT] fo=-8 i=4 oct=-4 freq=0.062500 raw=-0.488146 amp=2.000 persist=0.0313 contrib=-0.030569
[OCT] fo=-8 i=5 oct=-3 freq=0.125000 raw=-0.053637 amp=1.000 persist=0.0157 contrib=-0.000840
[OCT] fo=-8 i=7 oct=-1 freq=0.500000 raw=0.428947 amp=2.000 persist=0.0039 contrib=0.003358
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.497675 amp=1.000 persist=1.0000 contrib=0.497675
[NOODLE] (-278,14,-240) raw_n=-0.395586 raw_t=0.242138 raw_a=-0.583993 raw_b=-0.077371 raw_cheese=0.422772 raw_layer=0.636352 tree=64.000000
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=-0.494174 amp=1.000 persist=1.0000 contrib=-0.494174
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.374510 amp=1.000 persist=1.0000 contrib=0.374510
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.460058 amp=0.500 persist=0.5010 contrib=0.115239
[OCT] fo=-8 i=1 oct=-7 freq=0.007812 raw=0.134054 amp=1.000 persist=0.2505 contrib=0.033579
[OCT] fo=-8 i=2 oct=-6 freq=0.015625 raw=0.099672 amp=2.000 persist=0.1252 contrib=0.024967
[OCT] fo=-8 i=3 oct=-5 freq=0.031250 raw=0.146951 amp=1.000 persist=0.0626 contrib=0.009202
[OCT] fo=-8 i=4 oct=-4 freq=0.062500 raw=-0.486260 amp=2.000 persist=0.0313 contrib=-0.030451
[OCT] fo=-8 i=5 oct=-3 freq=0.125000 raw=-0.037089 amp=1.000 persist=0.0157 contrib=-0.000581
[OCT] fo=-8 i=7 oct=-1 freq=0.500000 raw=0.265405 amp=2.000 persist=0.0039 contrib=0.002078
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.502467 amp=1.000 persist=1.0000 contrib=0.502467
[NOODLE] (-278,15,-240) raw_n=-0.395673 raw_t=0.242507 raw_a=-0.557245 raw_b=-0.099255 raw_cheese=0.411656 raw_layer=0.654871 tree=64.000000
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=-0.495742 amp=1.000 persist=1.0000 contrib=-0.495742
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.375221 amp=1.000 persist=1.0000 contrib=0.375221
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.458082 amp=0.500 persist=0.5010 contrib=0.114745
[OCT] fo=-8 i=1 oct=-7 freq=0.007812 raw=0.129458 amp=1.000 persist=0.2505 contrib=0.032428
[OCT] fo=-8 i=2 oct=-6 freq=0.015625 raw=0.100139 amp=2.000 persist=0.1252 contrib=0.025084
[OCT] fo=-8 i=3 oct=-5 freq=0.031250 raw=0.127203 amp=1.000 persist=0.0626 contrib=0.007966
[OCT] fo=-8 i=4 oct=-4 freq=0.062500 raw=-0.477551 amp=2.000 persist=0.0313 contrib=-0.029905
[OCT] fo=-8 i=5 oct=-3 freq=0.125000 raw=-0.030962 amp=1.000 persist=0.0157 contrib=-0.000485
[OCT] fo=-8 i=7 oct=-1 freq=0.500000 raw=0.044910 amp=2.000 persist=0.0039 contrib=0.000352
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.502512 amp=1.000 persist=1.0000 contrib=0.502512
[NOODLE] (-278,16,-240) raw_n=-0.395661 raw_t=0.242811 raw_a=-0.529789 raw_b=-0.119966 raw_cheese=0.405576 raw_layer=0.669524 tree=64.000000
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=-0.497190 amp=1.000 persist=1.0000 contrib=-0.497190
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.375826 amp=1.000 persist=1.0000 contrib=0.375826
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.456097 amp=0.500 persist=0.5010 contrib=0.114247
[OCT] fo=-8 i=1 oct=-7 freq=0.007812 raw=0.124778 amp=1.000 persist=0.2505 contrib=0.031256
[OCT] fo=-8 i=2 oct=-6 freq=0.015625 raw=0.100632 amp=2.000 persist=0.1252 contrib=0.025207
[OCT] fo=-8 i=3 oct=-5 freq=0.031250 raw=0.108929 amp=1.000 persist=0.0626 contrib=0.006821
[OCT] fo=-8 i=4 oct=-4 freq=0.062500 raw=-0.463171 amp=2.000 persist=0.0313 contrib=-0.029005
[OCT] fo=-8 i=5 oct=-3 freq=0.125000 raw=-0.036501 amp=1.000 persist=0.0157 contrib=-0.000571
[OCT] fo=-8 i=7 oct=-1 freq=0.500000 raw=0.063148 amp=2.000 persist=0.0039 contrib=0.000494
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.498810 amp=1.000 persist=1.0000 contrib=0.498810
[NOODLE] (-278,17,-240) raw_n=-0.395549 raw_t=0.243049 raw_a=-0.501880 raw_b=-0.139391 raw_cheese=0.401044 raw_layer=0.680924 tree=64.000000
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=-0.498520 amp=1.000 persist=1.0000 contrib=-0.498520
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.376324 amp=1.000 persist=1.0000 contrib=0.376324
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.454103 amp=0.500 persist=0.5010 contrib=0.113748
[OCT] fo=-8 i=1 oct=-7 freq=0.007812 raw=0.120021 amp=1.000 persist=0.2505 contrib=0.030064
[OCT] fo=-8 i=2 oct=-6 freq=0.015625 raw=0.101174 amp=2.000 persist=0.1252 contrib=0.025343
[OCT] fo=-8 i=3 oct=-5 freq=0.031250 raw=0.092307 amp=1.000 persist=0.0626 contrib=0.005780
[OCT] fo=-8 i=4 oct=-4 freq=0.062500 raw=-0.444576 amp=2.000 persist=0.0313 contrib=-0.027840
[OCT] fo=-8 i=5 oct=-3 freq=0.125000 raw=-0.051446 amp=1.000 persist=0.0157 contrib=-0.000805
[OCT] fo=-8 i=7 oct=-1 freq=0.500000 raw=-0.014268 amp=2.000 persist=0.0039 contrib=-0.000112
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.492762 amp=1.000 persist=1.0000 contrib=0.492762
[NOODLE] (-278,18,-240) raw_n=-0.395338 raw_t=0.243221 raw_a=-0.473747 raw_b=-0.157067 raw_cheese=0.391364 raw_layer=0.690128 tree=64.000000
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=-0.499732 amp=1.000 persist=1.0000 contrib=-0.499732
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.376715 amp=1.000 persist=1.0000 contrib=0.376715
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.452101 amp=0.500 persist=0.5010 contrib=0.113246
