[CORESWAP] dll=E:\PYTHON\CoreSwap\versions\1.20.1\cpp\build-msvc\bin\block_probe.exe size=370688
[CORESWAP] crash handler installed
blocks file: magic=0x57474232 seed=-8248318472910187742 size=4 origin=(-288,-256) minY=-64 height=384
[COMP] erosion 228 0.294976
[COMP] erosion 232 0.294976
[COMP] erosion 236 0.294976
[COMP] erosion 240 0.294976
[COMP] erosion 244 0.294976
[COMP] erosion 248 0.294976
[COMP] erosion 252 0.294976
[COMP] erosion 256 0.294976
[COMP] erosion 260 0.294976
[COMP] erosion 264 0.294976
[COMP] erosion 268 0.294976
[COMP] erosion 272 0.294976
[COMP] erosion 276 0.294976
[COMP] erosion 280 0.294976
[COMP] erosion 284 0.294976
[COMP] erosion 288 0.294976
[COMP] erosion 292 0.294976
[COMP] erosion 296 0.294976
[COMP] erosion 300 0.294976
[COMP] erosion 304 0.294976
[COMP] erosion 308 0.294976
[COMP] erosion 312 0.294976
[COMP] erosion 316 0.294976
[COMP] barrier -64 -0.108209
[COMP] barrier -60 -0.021445
[COMP] barrier -56 0.107708
[COMP] barrier -52 0.233740
[COMP] barrier -48 0.250017
[COMP] barrier -44 0.362221
[COMP] barrier -40 0.552101
[COMP] barrier -36 0.687668
[COMP] barrier -32 0.675073
[COMP] barrier -28 0.551305
[COMP] barrier -24 0.381832
[COMP] barrier -20 0.186623
[COMP] barrier -16 0.001898
[COMP] barrier -12 -0.141707
[COMP] barrier -8 -0.243355
[COMP] barrier -4 -0.301375
[COMP] barrier 0 -0.312549
[COMP] barrier 4 -0.180882
[COMP] barrier 8 0.008376
[COMP] barrier 12 0.067877
[COMP] barrier 16 -0.059618
[COMP] barrier 20 -0.170858
[COMP] barrier 24 -0.151179
[COMP] barrier 28 -0.145180
[COMP] barrier 32 -0.204396
[COMP] barrier 36 -0.036180
[COMP] barrier 40 0.182488
[COMP] barrier 44 0.111747
[COMP] barrier 48 -0.111018
[COMP] barrier 52 -0.208584
[COMP] barrier 56 -0.079946
[COMP] barrier 60 0.090479
[COMP] barrier 64 0.134527
[COMP] barrier 68 0.249372
[COMP] barrier 72 0.369069
[COMP] barrier 76 0.424867
[COMP] barrier 80 0.271636
[COMP] barrier 84 -0.113678
[COMP] barrier 88 -0.284162
[COMP] barrier 92 -0.289433
[COMP] barrier 96 -0.151779
[COMP] barrier 100 0.050449
[COMP] barrier 104 0.032011
[COMP] barrier 108 -0.084384
[COMP] barrier 112 -0.284984
[COMP] barrier 116 -0.467747
[COMP] barrier 120 -0.310781
[COMP] barrier 124 0.027840
[COMP] barrier 128 0.293257
[COMP] barrier 132 0.345422
[COMP] barrier 136 0.106809
[COMP] barrier 140 -0.144360
[COMP] barrier 144 -0.153465
[COMP] barrier 148 -0.228793
[COMP] barrier 152 -0.284766
[COMP] barrier 156 -0.090029
[COMP] barrier 160 0.180163
[COMP] barrier 164 0.300354
[COMP] barrier 168 0.237559
[COMP] barrier 172 0.280962
[COMP] barrier 176 0.337386
[COMP] barrier 180 0.134182
[COMP] barrier 184 -0.237579
[COMP] barrier 188 -0.655157
[COMP] barrier 192 -0.870552
[COMP] barrier 196 -0.812673
[COMP] barrier 200 -0.571272
[COMP] barrier 204 -0.244413
[COMP] barrier 208 -0.011374
[COMP] barrier 212 0.067314
[COMP] barrier 216 0.057300
[COMP] barrier 220 0.181629
[COMP] barrier 224 0.332378
[COMP] barrier 228 0.481098
[COMP] barrier 232 0.544994
[COMP] barrier 236 0.297089
[COMP] barrier 240 0.136244
[COMP] barrier 244 0.191111
[COMP] barrier 248 0.231942
[COMP] barrier 252 0.215917
[COMP] barrier 256 -0.075604
[COMP] barrier 260 -0.361733
[COMP] barrier 264 -0.307999
[COMP] barrier 268 0.102356
[COMP] barrier 272 0.542788
[COMP] barrier 276 0.678101
[COMP] barrier 280 0.506253
[COMP] barrier 284 0.156851
[COMP] barrier 288 -0.061729
[COMP] barrier 292 -0.108147
[COMP] barrier 296 -0.069917
[COMP] barrier 300 -0.018469
[COMP] barrier 304 -0.129148
[COMP] barrier 308 -0.192566
[COMP] barrier 312 -0.275308
[COMP] barrier 316 -0.391400
[COMP] fluid_level_floodedness -64 -0.020695
[COMP] fluid_level_floodedness -60 -0.016951
[COMP] fluid_level_floodedness -56 -0.012509
[COMP] fluid_level_floodedness -52 -0.008102
[COMP] fluid_level_floodedness -48 -0.004020
[COMP] fluid_level_floodedness -44 -0.000250
[COMP] fluid_level_floodedness -40 0.003210
[COMP] fluid_level_floodedness -36 0.006343
[COMP] fluid_level_floodedness -32 0.009124
